Day,Metric,Unit,Amount
2017-8-5,"Mood",milligiggles,52.0
2017-8-5,"Weight",lbs,149.6
2017-8-5,"Body Fat",%,18.2
2017-8-5,"Sleep",hours,7.5
2017-8-6,"Mood",milligiggles,54.0
2017-8-6,"Weight",lbs,151.0
2017-8-6,"Body Fat",%,18.0
2017-8-6,"Sleep",hours,8.0
2017-8-7,"Weight",lbs,149.8
2017-8-7,"Body Fat",%,18.7
2017-8-7,"Sleep",hours,12.0
2017-8-7,"Mood",milligiggles,52.0
2017-8-8,"Weight",lbs,150.4
2017-8-8,"Mood",milligiggles,49.0
2017-8-8,"Body Fat",%,17.4
2017-8-8,"Sleep",hours,8.0
2017-8-9,"Sleep",hours,8.0
2017-8-9,"Weight",lbs,150.0
2017-8-9,"Body Fat",%,16.1
2017-8-9,"Mood",milligiggles,51.0
2017-8-10,"Weight",lbs,148.8
2017-8-10,"Body Fat",%,16.4
2017-8-10,"Sleep",hours,7.5
2017-8-10,"Mood",milligiggles,53.0
2017-8-11,"Mood",milligiggles,55.0
2017-8-11,"Sleep",hours,6.0
2017-8-11,"Weight",lbs,149.0
2017-8-11,"Body Fat",%,17.0
2017-8-12,"Sleep",hours,6.0
2017-8-12,"Weight",lbs,149.4
2017-8-12,"Body Fat",%,17.6
2017-8-12,"Mood",milligiggles,54.0
