PLAYER_WIN,PLAYER_LOSE,SCORE,EVENT,DATE,CHARACTERS_WIN,CHARACTERS_LOSE,VOD_LINK
Cody Schwab,Moky,3-0,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/maosLBAHa-I?si=74cGn_UR2nEHLWUa
Aklo,Jmook,3-2,Full_House/2025,2025-05-18,Fox,Sheik,https://youtu.be/NVlcDV-HdfI?si=_z-3HhzN4uZLk24z
Krudo,Aura,3-1,Full_House/2025,2025-05-18,Sheik,Peach,https://youtu.be/E34ovig58Zw?si=sPrg0nOcC4haN5D4
Joshman,Krudo,3-0,Full_House/2025,2025-05-18,Fox,Sheik,
Salt,Soonsay,3-1,Full_House/2025,2025-05-18,Captain Falcon,Fox,
Hungrybox,Jmook,3-1,Full_House/2025,2025-05-18,Jigglypuff,Sheik,
Moky,Salt,3-0,Full_House/2025,2025-05-18,Fox,Captain Falcon,https://youtu.be/JFOBV1Hb2E8?si=JkdgpFiE1BRvNLtN
Axe,Mang0,3-2,Full_House/2025,2025-05-18,Pikachu,Falco,https://youtu.be/C31olBeI9zE?si=9SH3g8yc4Vmbgnkc
Cody Schwab,Joshman,3-1,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/A0Z_xT-XYQk?si=1qrPkuibm46nizRw
Hungrybox,Zain,3-2,Full_House/2025,2025-05-18,Jigglypuff,Marth,https://youtu.be/EOXTQcqWvPo?si=M1c1QUo67B3FHhUh
Moky,Axe,3-2,Full_House/2025,2025-05-18,Fox,Pikachu,https://youtu.be/efRSLuPRkEg?si=PyVG31HavoXA3Rzo
Cody Schwab,Hungrybox,3-2,Full_House/2025,2025-05-18,Fox,Jigglypuff,https://youtu.be/bjQYxCFEPC8?si=O2_1QJ-O2FLhRBM0
Soonsay,Aura,3-2,Full_House/2025,2025-05-18,Fox,Peach,https://youtu.be/hPAFkxPczL4?si=wgW-Q58alY90_MoP
Trif,Krudo,3-2,Full_House/2025,2025-05-18,Peach,Sheik,https://youtu.be/OQuuaWTa0Ow?si=i8oEGmwVFIYuJRhe
Soonsay,N0ne,3-2,Full_House/2025,2025-05-18,Fox,Captain Falcon,https://youtu.be/7xHB1nOO1MM?si=ao1aJ0d-RKtRnLCr
N0ne,Junebug,3-1,Full_House/2025,2025-05-18,Captain Falcon,Donkey Kong,https://youtu.be/mpJ7TuL7i24?si=u1dtRE-9wrMyBXC6
Zain,Soonsay,3-1,Full_House/2025,2025-05-18,Marth,Fox,https://youtu.be/hBcdO95Szg0?si=lEXfDcgFh1-wYX4G
Joshman,Aklo,3-0,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/BluZ4iP2Thk?si=qMqza5mo4I3WhyKZ
Mang0,Trif,3-2,Full_House/2025,2025-05-18,Falco,Peach,https://youtu.be/eKA3OibZdIE?si=AA--G1l0Wy1UMdas
N0ne,Salt,3-1,Full_House/2025,2025-05-18,Captain Falcon,"Captain Falcon,Falco",https://youtu.be/1FkYaoNQNs8?si=uIa9uTk3_L6QP9nX
Zain,Joshman,3-1,Full_House/2025,2025-05-18,Marth,Fox,https://youtu.be/giCNH8PzFz8?si=j9SH_fzHwcO0sanu
Mang0,N0ne,3-0,Full_House/2025,2025-05-18,Falco,Captain Falcon,https://youtu.be/fN-vO4nPCCQ?si=llI9cGTFjPNLyTmF
Axe,Zain,3-2,Full_House/2025,2025-05-18,Pikachu,Marth,https://youtu.be/_kVEpXdwyeE?si=fHUHdbf4rrtEyGB6
Hungrybox,Mang0,3-2,Full_House/2025,2025-05-18,Jigglypuff,Falco,https://youtu.be/cSylQKw8uP0?si=v5UsB-jzoxzZsEnp
Cody Schwab,Moky,3-2,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/29sfQ6RxsSs?si=EJxi3FYLs8kJ0QTb
Hungrybox,Axe,3-0,Full_House/2025,2025-05-18,Jigglypuff,Fox,https://youtu.be/hymeBFboDGc?si=UkPYExtLxVzk75GK
Jmook,Junebug,3-0,Full_House/2025,2025-05-18,Sheik,Donkey Kong,https://youtu.be/4t9N64OndtY?si=2WbP0pmTtsur-BcU
Axe,Joshman,3-2,Full_House/2025,2025-05-18,Pikachu,Fox,https://youtu.be/knk75SxL42w?si=V2Lpsk6cWVbHk3zn
Cody Schwab,Moky,3-0,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/maosLBAHa-I?si=74cGn_UR2nEHLWUa
N0ne,Trif,3-2,Full_House/2025,2025-05-18,Captain Falcon,Peach,https://youtu.be/xvEvf-U4dK4?si=f12kYMt1qew2yiDL
Salt,Trif,3-2,Full_House/2025,2025-05-18,Captain Falcon,Peach,https://youtu.be/llGFBNZ6_7U?si=BPoun2JXwwhGnD3h
Hungrybox,Krudo,3-0,Full_House/2025,2025-05-18,Jigglypuff,Sheik,https://youtu.be/lTTaWdZg1SU?si=-GoObIViGII5Ymt4
Axe,Jmook,3-2,Full_House/2025,2025-05-18,Pikachu,Sheik,https://youtu.be/HcoP7M9k9x8?si=Yi4TELif1wWb5rLX
Zain,Soonsay,3-2,Full_House/2025,2025-05-18,Marth,Fox,https://youtu.be/KbhFbBceP-k?si=qmQfcF2IS6FZa9Ux
Mang0,Junebug,3-2,Full_House/2025,2025-05-18,Falco,Donkey Kong,https://youtu.be/7_5IRs8SnrE?si=NhapV35qmjY4xpSr
Joshman,Aura,3-2,Full_House/2025,2025-05-18,Fox,Peach,https://youtu.be/b7tYGAWlYMU?si=tf40FCWV5WxSU1WR
Moky,Aklo,3-0,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/4TboOBoKLhY?si=J6tHm9uR7fIm0MXF
Cody Schwab,Salt,3-1,Full_House/2025,2025-05-18,Fox,Captain Falcon,https://youtu.be/5FDYHCcx-Ok?si=LuPdlvjSMk3MeGUK
Hungrybox,Axe,3-1,Full_House/2025,2025-05-18,Jigglypuff,Fox,https://youtu.be/d2I_A3ny2lg?si=gqO6d2SkVD1qRTdZ
Zain,Mang0,3-1,Full_House/2025,2025-05-18,Marth,Falco,https://youtu.be/cUUctY_eMCA?si=pv-wlJXV4liT21Vq
Moky,Joshman,3-1,Full_House/2025,2025-05-18,Fox,Fox,https://youtu.be/meePClPQ36g?si=zUB5Fa3Qv2cVJUqn
Krudo,Jmook,3-1,Full_House/2025,2025-05-18,Sheik,Sheik,https://youtu.be/zJXMjmiMTwk?si=cA_i1YQ5W-ASBlLa
Mang0,Hungrybox,3-1,Full_House/2025,2025-05-18,Falco,Jigglypuff,https://youtu.be/IASY6kWhoz8?si=l5I4RIDJkYd6bPYl
Junebug,Soonsay,3-0,Full_House/2025,2025-05-18,Donkey Kong,Fox,https://youtu.be/D9yI97nTtHE?si=lyKaN0oskcFdloUr
Aura,Aklo,3-1,Full_House/2025,2025-05-18,Peach,Fox,https://youtu.be/P0VY7RdG-0Y?si=S86Kbdrr8FtvaKUR
Cody Schwab,Hungrybox,3-0,Full_House/2025,2025-05-18,Fox,Jigglypuff,https://youtu.be/JOKSg_QfYeo?si=UEryuDY350i2ouS7
Moky,Zain,3-1,Full_House/2025,2025-05-18,Fox,Marth,https://youtu.be/tZi33tnM6L8?si=tLXiiEMauXmQNzCQ
Axe,N0ne,3-1,Full_House/2025,2025-05-18,Pikachu,Captain Falcon,https://youtu.be/OZm6GrvUTHU?si=GcX5x0B_5jUEvKll
Salt,Krudo,3-1,Full_House/2025,2025-05-18,Captain Falcon,Sheik,https://youtu.be/yiLkHM1ODcc?si=00nAOKozPdY7trHQ
Joshman,Junebug,3-1,Full_House/2025,2025-05-18,Fox,Donkey Kong,https://youtu.be/B_YM-1gUZhI?si=oohGVY-K79z6C7id
