PLAYER_WIN,PLAYER_LOSE,SCORE,EVENT,DATE,CHARACTERS_WIN,CHARACTERS_LOSE,VOD_LINK
Hysteric,skunkbunny,3-0,Mass Madness/49/Melee,2025-02-08,,,
Future Shock,Vexoskeleton,3-1,Mass Madness/49/Melee,2025-02-08,,,
Sweat,Stratford,3-0,Mass Madness/49/Melee,2025-02-08,,,
Yousef,chl0rine,3-0,Mass Madness/49/Melee,2025-02-08,,,
Top Player Yasu,sfy bees,3-0,Mass Madness/49/Melee,2025-02-08,,,
Stratford,OhMyGodILoveYouSoMuch!,3-1,Mass Madness/49/Melee,2025-02-08,,,
22K,TeaKay,3-1,Mass Madness/49/Melee,2025-02-08,,,
Hysteric,saucymain,3-1,Mass Madness/49/Melee,2025-02-08,,,
Future Shock,Sweat,3-1,Mass Madness/49/Melee,2025-02-08,,,
Yousef,oz,3-0,Mass Madness/49/Melee,2025-02-08,,,
Top Player Yasu,22K,3-1,Mass Madness/49/Melee,2025-02-08,,,
regEx,Hysteric,3-1,Mass Madness/49/Melee,2025-02-08,,,
Greenstach,Future Shock,3-2,Mass Madness/49/Melee,2025-02-08,,,
chl0rine,MIAMI,3-2,Mass Madness/49/Melee,2025-02-08,,,
Vexoskeleton,PPMcGee123,3-0,Mass Madness/49/Melee,2025-02-08,,,
PewPewU,KoopaTroopa895,3-1,TITAN/2,2025-02-08,Marth,Marth,https://youtu.be/4ojaGQtCbAI?si=pbvGyfG6X7dWGUvD
Kalvar,glock in my toyota,3-0,Mass Madness/49/Melee,2025-02-08,Marth,Fox,https://youtu.be/tjaMuafqdTU
regEx,Top Player Yasu,3-1,Mass Madness/49/Melee,2025-02-08,Marth,"Fox, Marth",https://youtu.be/hc40kPodVk0
Project,oz,3-0,Mass Madness/49/Melee,2025-02-08,,,
Greenstach,Yousef,3-0,Mass Madness/49/Melee,2025-02-08,,,
Kalvar,shmeeli,3-0,Mass Madness/49/Melee,2025-02-08,Marth,Falco,https://youtu.be/-xwnoMyy_Oo
glock in my toyota,Bank,3-2,Mass Madness/49/Melee,2025-02-08,,Marth,https://youtu.be/F6_Sp4soJ2Q
bonfire10,regEx,3-1,Mass Madness/49/Melee,2025-02-08,,,
Project,Greenstach,3-2,Mass Madness/49/Melee,2025-02-08,Fox,Luigi,https://youtu.be/tBWLYHPiHGU
bonfire10,Project,3-2,Mass Madness/49/Melee,2025-02-08,Sheik,Fox,https://youtu.be/7TSEDW4NQ4o
Hysteric,b.water,3-0,Mass Madness/49/Melee,2025-02-08,,,
FantasticDeli,Jimothee,3-2,Mass Madness/49/Melee,2025-02-08,,,
Vexoskeleton,Munky,3-0,Mass Madness/49/Melee,2025-02-08,,,
Stratford,Gelatin,3-0,Mass Madness/49/Melee,2025-02-08,,,
MIAMI,IF,3-0,Mass Madness/49/Melee,2025-02-08,,,
N0va,moonrithyll,3-0,Mass Madness/49/Melee,2025-02-08,,,
TeaKay,Breathlessx22,3-0,Mass Madness/49/Melee,2025-02-08,,,
snafu,FantasticDeli,3-0,Mass Madness/49/Melee,2025-02-08,,,
shmeeli,Yousef,3-0,Mass Madness/49/Melee,2025-02-08,,,
Bank,Top Player Yasu,3-1,Mass Madness/49/Melee,2025-02-08,,,
regEx,Greenstach,3-1,Mass Madness/49/Melee,2025-02-08,,,
OhMyGodILoveYouSoMuch!,IF,3-2,Mass Madness/49/Melee,2025-02-08,,,
glock in my toyota,Froghog,3-0,Mass Madness/49/Melee,2025-02-08,,,
Future Shock,N0va,3-0,Mass Madness/49/Melee,2025-02-08,,,
shmeeli,sfy bees,3-0,Mass Madness/49/Melee,2025-02-08,,,
Sweat,TeaKay,3-1,Mass Madness/49/Melee,2025-02-08,,,
Kalvar,Currently_Pregnant,3-0,Mass Madness/49/Melee,2025-02-08,,,
snafu,Breathlessx22,3-0,Mass Madness/49/Melee,2025-02-08,,,
b.water,moonrithyll,3-0,Mass Madness/49/Melee,2025-02-08,,,
chl0rine,Gelatin,3-0,Mass Madness/49/Melee,2025-02-08,,,
Bank,shmeeli,3-0,Mass Madness/49/Melee,2025-02-08,,,
Froghog,Munky,3-0,Mass Madness/49/Melee,2025-02-08,,,
Currently_Pregnant,Jimothee,3-2,Mass Madness/49/Melee,2025-02-08,,,
Jmook,Franz,3-0,TITAN/2,2025-02-08,Sheik,DrMario,https://youtu.be/mGmGlEcs2xw?si=QyGwaBgONlimWi68
Franz,salami,3-0,TITAN/2,2025-02-08,DrMario,Fox,https://youtu.be/IbPPi7BjO0Y?si=Er1ns20sbbKIgVva
salami,PewPewU,3-2,TITAN/2,2025-02-08,Marth,Fox,https://youtu.be/WBAu_2DTng8?si=LcEsgvWuCFqid_zP
Jmook,Franz,3-0,TITAN/2,2025-02-08,Sheik,DrMario,https://youtu.be/Pdj0ack6YEc?si=W8cpcG12wAzatX2-
salami,Khalid,3-0,TITAN/2,2025-02-08,Jigglypuff,Fox,https://youtu.be/XBZpLG62JlM?si=kto8knvJDvDCSayw
skunkbunny,MOOP,3-1,Mass Madness/49/Melee,2025-02-08,,,
Bank,chl0rine,3-0,Mass Madness/49/Melee,2025-02-08,,,
saucymain,MIAMI,3-0,Mass Madness/49/Melee,2025-02-08,,,
bonfire10,OhMyGodILoveYouSoMuch!,3-0,Mass Madness/49/Melee,2025-02-08,,,
regEx,glock in my toyota,3-1,Mass Madness/49/Melee,2025-02-08,,,
Project,Bank,3-2,Mass Madness/49/Melee,2025-02-08,Fox,Marth,https://youtu.be/qz70OAYurns
Kalvar,bonfire10,3-1,Mass Madness/49/Melee,2025-02-08,Marth,Sheik,https://youtu.be/-bujIcCyxDo
Project,regEx,3-2,Mass Madness/49/Melee,2025-02-08,Marth,Fox,https://youtu.be/drDZOEMaEfQ
bonfire10,Project,3-1,Mass Madness/49/Melee,2025-02-08,Sheik,Fox,https://youtu.be/Il0l7ShqH4I
bonfire10,Kalvar,3-2,Mass Madness/49/Melee,2025-02-08,Marth,Sheik,https://youtu.be/0kG4b0p_JRI
shmeeli,Future Shock,3-2,Mass Madness/49/Melee,2025-02-08,Falco,CaptainFalcon,https://youtu.be/HMwN2A-HC6g
Kalvar,Sweat,3-0,Mass Madness/49/Melee,2025-02-08,,,
Yousef,FantasticDeli,3-0,Mass Madness/49/Melee,2025-02-08,,,
Greenstach,snafu,3-0,Mass Madness/49/Melee,2025-02-08,,,
oz,Hysteric,3-2,Mass Madness/49/Melee,2025-02-08,,,
Project,b.water,3-0,Mass Madness/49/Melee,2025-02-08,,,
Top Player Yasu,Vexoskeleton,3-0,Mass Madness/49/Melee,2025-02-08,,,
regEx,PPMcGee123,3-0,Mass Madness/49/Melee,2025-02-08,,,
22K,Stratford,3-0,Mass Madness/49/Melee,2025-02-08,Sheik,Fox,https://youtu.be/60Ze7hxmU2s
TeaKay,Currently_Pregnant,3-0,Mass Madness/49/Melee,2025-02-08,,,
Zamu,OG Swaglord,3-0,The Zou/6/Melee,2025-02-01,Fox,Fox,
Ben,Joey Donuts,3-0,Minnesota Monthly Melee/24,2025-02-01,Sheik,Falco,https://youtu.be/mBG4Fn45UbU?si=wUuMv3QCIaJasWkZ
Komodo,ADMJ,3-1,Magic Conch/38,2025-02-01,,,
lexor,Matthias,3-0,Minnesota Monthly Melee/24,2025-02-01,Fox,DrMario,https://youtu.be/QuT63lEzT6w?si=e7__mvAME_nvRDmn
100 Grand,Jacklyn,3-0,Minnesota Monthly Melee/24,2025-02-01,Marth,Peach,https://youtu.be/8ROzfVTDcLA?si=eNcG7WJEgBY8ykod
lexor,Joey Donuts,3-0,Minnesota Monthly Melee/24,2025-02-01,Falco,Fox,https://youtu.be/yYizIbt3DKI?si=3H96QovX4knbcbd7
Preeminent,Ben,3-0,Minnesota Monthly Melee/24,2025-02-01,Fox,Sheik,https://youtu.be/RVknApgyQ30?si=E2NgbFIVPf5tixgA
100 Grand,lexor,3-0,Minnesota Monthly Melee/24,2025-02-01,Marth,Fox,https://youtu.be/OVG2p6UL2yo?si=vm4YKd4nCA862iwG
Ben,100 Grand,3-0,Minnesota Monthly Melee/24,2025-02-01,Sheik,Marth,https://youtu.be/QcZpQw34vyk?si=hT6sxLmAnGBnh0k4
Ben,Preeminent,3-1,Minnesota Monthly Melee/24,2025-02-01,Fox,Sheik,https://youtu.be/K4HyPpf_LSw?si=B0RkoSCIX4CyqQvs
Panda,Lunes,3-1,Magic Conch/38,2025-02-01,Fox,Jigglypuff,
Akir,Equilateral,3-2,Magic Conch/38,2025-02-01,DonkeyKong,Marth,
n0ne,Carbon,3-0,Magic Conch/38,2025-02-01,CaptainFalcon,Falco,
Panda,Akir,3-1,Magic Conch/38,2025-02-01,Fox,DonkeyKong,
Bagels,diggles137,3-1,The Zou/6/Melee,2025-02-01,,,
n0ne,Komodo,3-1,Magic Conch/38,2025-02-01,CaptainFalcon,Jigglypuff,
dick,Normal Person,3-2,Magic Conch/38,2025-02-01,,,
Klay,Rayd,3-1,Magic Conch/38,2025-02-01,,,
Stockholm Syndrome,PopeSeanPaul,3-0,Magic Conch/38,2025-02-01,,,
Helix,GAwes,3-0,Magic Conch/38,2025-02-01,,,
Klay,Carbon,3-1,Magic Conch/38,2025-02-01,,,
Equilateral,Stockholm Syndrome,3-2,Magic Conch/38,2025-02-01,,,
Lunes,Helix,3-0,Magic Conch/38,2025-02-01,,,
ADMJ,Klay,3-0,Magic Conch/38,2025-02-01,Peach,Fox,
Lunes,Equilateral,3-0,Magic Conch/38,2025-02-01,,,
Jacklyn,Lowercase hero,3-1,Minnesota Monthly Melee/24,2025-02-01,Fox,Peach,https://youtu.be/mvXLEWHfPBI?si=ElmASiOPCoLGJZzr
Matthias,Nakamaman,3-2,Minnesota Monthly Melee/24,2025-02-01,,,
lexor,Veka,3-0,Minnesota Monthly Melee/24,2025-02-01,,,
Jacklyn,Jim,3-1,Minnesota Monthly Melee/24,2025-02-01,,,
pkay,Fess,3-1,The Zou/6/Melee,2025-02-01,,,
Travioli,3HUNA,3-1,The Zou/6/Melee,2025-02-01,,,
Hank,Bagels,3-2,The Zou/6/Melee,2025-02-01,,,
Reesch,pkay,3-1,The Zou/6/Melee,2025-02-01,CaptainFalcon,Jigglypuff,
Hank,Travioli,3-1,The Zou/6/Melee,2025-02-01,"Samus, Sheik",Fox,
Slowking,Reesch,3-2,The Zou/6/Melee,2025-02-01,Falco,CaptainFalcon,
OG Swaglord,Hank,3-1,The Zou/6/Melee,2025-02-01,Fox,Fox,
Zamu,alex,3-2,The Zou/6/Melee,2025-02-01,Fox,Jigglypuff,
OG Swaglord,Slowking,3-2,The Zou/6/Melee,2025-02-01,Falco,Fox,
OG Swaglord,alex,3-2,The Zou/6/Melee,2025-02-01,Jigglypuff,Fox,
3HUNA,Sandzyboy,3-1,The Zou/6/Melee,2025-02-01,,,
Preeminent,Nakamaman,3-1,Minnesota Monthly Melee/24,2025-02-01,Fox,Marth,https://youtu.be/z58IZnLQ__k?si=cAMXssRrTI9yLaaC
100 Grand,lexor,3-1,Minnesota Monthly Melee/24,2025-02-01,Fox,Marth,https://youtu.be/NnLy_safFOo?si=Ra_3BrEb3FRIfwzv
Ben,Jacklyn,3-1,Minnesota Monthly Melee/24,2025-02-01,Sheik,Peach,https://youtu.be/L59HoDjVt0k?si=Hbab029JiSI3TSv9
Joey Donuts,Lowercase hero,3-2,Minnesota Monthly Melee/24,2025-02-01,Fox,Falco,https://youtu.be/j8rR1sJ-KBc?si=9TyxyHOgaM8eLSlx
Preeminent,100 Grand,3-2,Minnesota Monthly Melee/24,2025-02-01,Fox,Marth,https://youtu.be/G9jF24gPbZ0?si=b8DW2lWkVEkuyeUX
pkay,Silipro,3-2,The Zou/6/Melee,2025-02-01,,,
Tarik,Lamonster,3-1,Minnesota Monthly Melee/24,2025-02-01,,,
Veka,Knight,3-1,Minnesota Monthly Melee/24,2025-02-01,,,
Matthias,dom,3-2,Minnesota Monthly Melee/24,2025-02-01,,,
Lowercase hero,Tarik,3-0,Minnesota Monthly Melee/24,2025-02-01,,,
Akir,ADMJ,3-1,Magic Conch/38,2025-02-01,,,
Komodo,Lunes,3-0,Magic Conch/38,2025-02-01,Jigglypuff,Jigglypuff,
n0ne,Panda,3-1,Magic Conch/38,2025-02-01,Fox,CaptainFalcon,
Jude,Case,3-0,Wrath/2025/Melee,2025-02-01,Peach,Marth,https://youtu.be/muJQjFjuMcI?si=Y6DCQs1HTwHqihhA
Jude,Stone,3-1,Wrath/2025/Melee,2025-02-01,Fox,Marth,https://youtu.be/2SpNKVDiLJo?si=mBi4nkd29xjSQhPu
Case,Jade,3-1,Wrath/2025/Melee,2025-02-01,,,
JChu,rabit!,3-1,Wrath/2025/Melee,2025-02-01,,,
JSalt,Bungo,3-1,Wrath/2025/Melee,2025-02-01,,,
Jude,Zoey,3-1,Wrath/2025/Melee,2025-02-01,,,
Jade,DrDepper,3-0,Wrath/2025/Melee,2025-02-01,,,
JChu,Worm,3-1,Wrath/2025/Melee,2025-02-01,Pikachu,Falco,https://youtu.be/EbwKWFMJpyI?si=z6DnCyK2j3FeBlps
Bungo,C. Row,3-2,Wrath/2025/Melee,2025-02-01,Sheik,Fox,https://youtu.be/IBASi3-nWd8?si=RsfqKZKgeh5ZbXiU
Zoey,Umbr,3-1,Wrath/2025/Melee,2025-02-01,,,
Jude,Dirtboy,3-1,Wrath/2025/Melee,2025-02-01,,,
DrDepper,Cowboi,3-0,Wrath/2025/Melee,2025-02-01,,,
Worm,10 Piece,3-0,Wrath/2025/Melee,2025-02-01,,,
JChu,Fives,3-1,Wrath/2025/Melee,2025-02-01,,,
C. Row,ZeeBee,3-1,Wrath/2025/Melee,2025-02-01,,,
Bungo,Violence,3-0,Wrath/2025/Melee,2025-02-01,,,
SDJ,Spark,3-0,Wrath/2025/Melee,2025-02-01,Sheik,Jigglypuff,https://youtu.be/b32IjnrXswk?si=Y0rauU3CAJH9R2hE
Magi,Chickenman400,3-0,Wrath/2025/Melee,2025-02-01,Falco,Falco,https://youtu.be/lBvzGSkyp3g?si=iZS-OO82SkrpJUc4
SDJ,Case,3-0,Wrath/2025/Melee,2025-02-01,,,
Spark,Stone,3-0,Wrath/2025/Melee,2025-02-01,,,
Chickenman400,JSalt,3-1,Wrath/2025/Melee,2025-02-01,Falco,Sheik,https://youtu.be/DxM-awnqrcQ?si=Gw96xG_koBcbIXkl
Magi,rabit!,3-0,Wrath/2025/Melee,2025-02-01,,,
JChu,JSalt,3-2,Wrath/2025/Melee,2025-02-01,Sheik,Pikachu,https://youtu.be/qXqexMNNfns?si=phKt3qG5YltBVFlH
JChu,Spark,3-2,Wrath/2025/Melee,2025-02-01,Sheik,Pikachu,https://youtu.be/0-qB10Uiqbg?si=tgtYw845W3Gx4R4B
Komodo,Akir,3-2,Magic Conch/38,2025-02-01,"CaptainFalcon, DonkeyKong, Marth",Jigglypuff,
Chickenman400,Jude,3-1,Wrath/2025/Melee,2025-02-01,Falco,Marth,https://youtu.be/eLYZlzjZjVM?si=MoPbvYm-uhaPSLEz
Panda,Komodo,3-2,Magic Conch/38,2025-02-01,Fox,Jigglypuff,
Panda,n0ne,3-1,Magic Conch/38,2025-02-01,CaptainFalcon,Fox,
Gaz!,Wytch,3-0,The Zou/6/Melee,2025-02-01,,,
diggles137,Schlag,3-1,The Zou/6/Melee,2025-02-01,,,
Bagels,Anubis,3-0,The Zou/6/Melee,2025-02-01,,,
Sandzyboy,Schnurb,3-1,The Zou/6/Melee,2025-02-01,,,
3HUNA,max,3-2,The Zou/6/Melee,2025-02-01,,,
Silipro,Blandeezy,3-1,The Zou/6/Melee,2025-02-01,,,
pkay,Cyanix,3-1,The Zou/6/Melee,2025-02-01,,,
Wytch,TreeHauz,3-1,The Zou/6/Melee,2025-02-01,,,
Gaz!,mia,3-2,The Zou/6/Melee,2025-02-01,,,
alex,Slowking,3-1,The Zou/6/Melee,2025-02-01,Falco,Jigglypuff,
Zamu,OG Swaglord,3-0,The Zou/6/Melee,2025-02-01,Fox,Fox,
alex,Travioli,3-0,The Zou/6/Melee,2025-02-01,Jigglypuff,"Fox, Sheik",
Slowking,Hank,3-2,The Zou/6/Melee,2025-02-01,Falco,Fox,
OG Swaglord,Reesch,3-2,The Zou/6/Melee,2025-02-01,Fox,CaptainFalcon,
Zamu,Fess,3-0,The Zou/6/Melee,2025-02-01,Fox,Jigglypuff,
SDJ,Magi,3-1,Wrath/2025/Melee,2025-02-01,Jigglypuff,Falco,https://youtu.be/sqszTqrqXDc?si=kgBQYlmlcrqftVcH
Magi,JChu,3-2,Wrath/2025/Melee,2025-02-01,Falco,Pikachu,https://youtu.be/dhWM-s0gba4?si=KPOXbmgpNdsHFzQa
JChu,Chickenman400,3-1,Wrath/2025/Melee,2025-02-01,Pikachu,Falco,
SDJ,Magi,3-2,Wrath/2025/Melee,2025-02-01,Falco,Jigglypuff,https://youtu.be/OIDZ-InhZfU?si=6W1rqO1cJ_rAmXhW
Reesch,Gaz!,3-0,The Zou/6/Melee,2025-02-01,CaptainFalcon,Marth,
Khalid,Gooms,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Jigglypuff,Fox,
Kevon,Babaganoush,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Kazer,poopieinmymouth,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
yingling,Tern,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Swiz,Kevon,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Rato,Shadowwiz,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Iggy,LuckyLadder569,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Tern,SaltInYourEye,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
yingling,The Charles Guy,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Life,Vegas Matt,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Swiz,Janks,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
DendyPretendy,Tristan's Rule,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Rato,Inzain,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
salami,DendyPretendy,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
LuckyLadder569,sh1tternet,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Tern,Klous,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
The Charles Guy,Shura,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Babaganoush,w00j__,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Janks,Openzmindz,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Tristan's Rule,Griff,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
poopieinmymouth,void star,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Khalid,Life,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Jigglypuff,Marth,
Fiction,Zeo,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Falco,CaptainFalcon,
Iggy,Rato,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
DendyPretendy,Kazer,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
s-f,Swiz,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Zeo,salami,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Fiction,Shadowwiz,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
s-f,Iggy,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Marth,Fox,
salami,SaltInYourEye,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Zeo,yingling,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,CaptainFalcon,Fox,
Khalid,Kevon,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Gooms,Swiz,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Vegas Matt,yingling,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Life,Kazer,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Fiction,s-f,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Sheik,Marth,
Vegas Matt,DendyPretendy,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Vegas Matt,Fiction,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Falco,Fox,
salami,Life,3-1,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Marth,Fox,
Vegas Matt,Khalid,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Jigglypuff,Fox,
salami,s-f,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Fox,Marth,
Vegas Matt,Gooms,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Fox,Fox,
Gooms,Iggy,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,,,
Vegas Matt,Zeo,3-2,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,CaptainFalcon,Fox,
Fiction,Khalid,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Fox,Jigglypuff,
Vegas Matt,salami,3-0,Deyve's Smash Bash/The Monthly/9/Melee,2025-01-26,Fox,Fox,
Greenstach,Arn255,3-2,GIGA HOG/7/1,2025-01-25,,,
Conflict,robi,3-1,GIGA HOG/7/1,2025-01-25,,,
Electroman,Spades,3-2,GIGA HOG/7/1,2025-01-25,,,
Abel,Nage,3-0,GIGA HOG/7/1,2025-01-25,,,
Tommy,Brub,3-1,GIGA HOG/7/1,2025-01-25,,,
Greenstach,Conflict,3-0,GIGA HOG/7/1,2025-01-25,,,
Q,Electroman,3-0,GIGA HOG/7/1,2025-01-25,,,
bonfire10,Abel,3-1,GIGA HOG/7/1,2025-01-25,,,
Bigbuffalo,Tommy,3-1,GIGA HOG/7/1,2025-01-25,,,
Brub,sqlite:3,3-1,GIGA HOG/7/1,2025-01-25,,,
bonfire10,Q,3-0,GIGA HOG/7/1,2025-01-25,,,
Bigbuffalo,Greenstach,3-1,GIGA HOG/7/1,2025-01-25,,,
bonfire10,glock in my toyota,3-1,GIGA HOG/7/1,2025-01-25,Fox,Sheik,
Clannad Afterstory,Bigbuffalo,3-1,GIGA HOG/7/1,2025-01-25,Pikachu,"Fox, Jigglypuff",
Epoodle,Kalvar,3-2,GIGA HOG/7/1,2025-01-25,Marth,Marth,
bonfire10,Clannad Afterstory,3-1,GIGA HOG/7/1,2025-01-25,Sheik,"Fox, Pikachu",
bonfire10,Kalvar,3-2,GIGA HOG/7/1,2025-01-25,Marth,Sheik,
bonfire10,Epoodle,3-2,GIGA HOG/7/1,2025-01-25,Marth,Sheik,
Greenstach,toontown veteran,3-0,GIGA HOG/7/1,2025-01-25,,,
LunarySSF2,skullbro,3-0,Somnio/6/Melee,2025-01-25,,,
Tommy,DadsAkimbo,3-0,GIGA HOG/7/1,2025-01-25,,,
Nage,robi,3-2,GIGA HOG/7/1,2025-01-25,Marth,Sheik,
DynamoDB,Mario Puzo,3-0,GIGA HOG/7/1,2025-01-25,,,
Yifu,Lane,3-1,GIGA HOG/7/1,2025-01-25,Falco,CaptainFalcon,
Rascal,MonotoneCulprit,3-0,GIGA HOG/7/1,2025-01-25,,,
Brub,supremelol,3-0,GIGA HOG/7/1,2025-01-25,,,
CRIQ,Jkiller,3-0,GIGA HOG/7/1,2025-01-25,,,
2can,WeWa Fan,3-0,GIGA HOG/7/1,2025-01-25,,,
Conflict,lime,3-0,GIGA HOG/7/1,2025-01-25,,,
Rat Rattington,Fin,3-0,GIGA HOG/7/1,2025-01-25,,,
Nage,Rat Rattington,3-2,GIGA HOG/7/1,2025-01-25,,,
DongDysfunktion,Eddy Connecticut,3-1,GIGA HOG/7/1,2025-01-25,,,
kuro,Javier Long Nuts,3-0,GIGA HOG/7/1,2025-01-25,,,
sqlite:3,love will redeem you,3-0,GIGA HOG/7/1,2025-01-25,,,
22K,DexterousChris,3-0,GIGA HOG/7/1,2025-01-25,,,
robi,BunsenBurn,3-0,GIGA HOG/7/1,2025-01-25,,,
Nage,Feed,3-0,GIGA HOG/7/1,2025-01-25,,,
Amida,Amsah,3-1,Somnio/6/Melee,2025-01-25,Sheik,Jigglypuff,
Amida,irfan,3-0,Somnio/6/Melee,2025-01-25,Jigglypuff,Falco,
irfan,max,3-2,Somnio/6/Melee,2025-01-25,Sheik,Falco,
Amsah,Amida,3-1,Somnio/6/Melee,2025-01-25,Sheik,Jigglypuff,
irfan,IuDKing,3-1,Somnio/6/Melee,2025-01-25,DonkeyKong,Falco,
max,$TYN,3-1,Somnio/6/Melee,2025-01-25,Sheik,Fox,
Kalvar,Lati,3-1,GIGA HOG/7/1,2025-01-25,,,
Bigbuffalo,22K,3-1,GIGA HOG/7/1,2025-01-25,,,
Epoodle,Q,3-0,GIGA HOG/7/1,2025-01-25,Marth,Fox,
Abel,toontown veteran,3-1,GIGA HOG/7/1,2025-01-25,,,
Kalvar,Bigbuffalo,3-1,GIGA HOG/7/1,2025-01-25,Marth,"Fox, Jigglypuff",
Clannad Afterstory,Tommy,3-1,GIGA HOG/7/1,2025-01-25,Pikachu,Jigglypuff,
bonfire10,Brub,3-0,GIGA HOG/7/1,2025-01-25,,,
Q,Greenstach,3-2,GIGA HOG/7/1,2025-01-25,Fox,Luigi,
Epoodle,Conflict,3-0,GIGA HOG/7/1,2025-01-25,,,
Arn255,Electroman,3-2,GIGA HOG/7/1,2025-01-25,,,
glock in my toyota,Spades,3-1,GIGA HOG/7/1,2025-01-25,,,
Bigbuffalo,Abel,3-1,GIGA HOG/7/1,2025-01-25,,,
Kalvar,Nage,3-0,GIGA HOG/7/1,2025-01-25,,,
Tommy,DynamoDB,3-2,GIGA HOG/7/1,2025-01-25,,,
Clannad Afterstory,Yifu,3-0,GIGA HOG/7/1,2025-01-25,,,
Brub,Rascal,3-0,GIGA HOG/7/1,2025-01-25,,,
bonfire10,CRIQ,3-0,GIGA HOG/7/1,2025-01-25,,,
Greenstach,Speez,3-0,GIGA HOG/7/1,2025-01-25,,,
Q,2can,3-0,GIGA HOG/7/1,2025-01-25,,,
Conflict,Rat Rattington,3-0,GIGA HOG/7/1,2025-01-25,,,
Epoodle,MOOP,3-0,GIGA HOG/7/1,2025-01-25,,,
Arn255,DadsAkimbo,3-0,GIGA HOG/7/1,2025-01-25,,,
Electroman,DongDysfunktion,3-1,GIGA HOG/7/1,2025-01-25,,,
Spades,kuro,3-2,GIGA HOG/7/1,2025-01-25,,,
glock in my toyota,sqlite:3,3-0,GIGA HOG/7/1,2025-01-25,,,
irfan,Aaron,3-1,Somnio/6/Melee,2025-01-25,Falco,Sheik,
$TYN,LunarySSF2,3-1,Somnio/6/Melee,2025-01-25,CaptainFalcon,Fox,
Aaron,Noxxa,3-2,Somnio/6/Melee,2025-01-25,Sheik,IceClimbers,
irfan,Xin,3-0,Somnio/6/Melee,2025-01-25,,,
Frostbyte,Hua,3-1,MDVA Summit/2025,2025-01-25,IceClimbers,Peach,
Kush Messiah,Douglas J Gov,3-2,MDVA Summit/2025,2025-01-25,CaptainFalcon,Sheik,
Nav,Nurok,3-2,MDVA Summit/2025,2025-01-25,Falco,Fox,
Zain,TD Bolt,3-0,MDVA Summit/2025,2025-01-25,Roy,Marth,
